Boroughs,Neighbourhood,longitude,latitude
Bangalore East,Arabic College  ,77.6206,13.0291
Bangalore East,Bellandur  ,77.676,12.9298
Bangalore East,Domlur  ,77.6359,12.9611
Bangalore East,Dr. Shivarama Karanth Nagar  ,77.6293,13.0681
Bangalore East,Fraser Town  ,77.6164,13.0005
Bangalore East,G.K.V.K.  ,77.5784,13.0781
Bangalore East,H.A.L II Stage  ,77.6427,12.9686
Bangalore East,HighCourt  ,77.5915,12.9773
Bangalore East,Jeevanbhimanagar  ,77.6535,12.9695
Bangalore East,Kothanur  ,77.6478,13.0614
Bangalore East,Mahatma Gandhi Road  ,77.61,12.9739
Bangalore East,Marathahalli Colony  ,77.688,12.9559
Bangalore East,NAL  ,77.6502,12.9596
Bangalore East,New Thippasandra  ,77.6572,12.9716
Bangalore East,Sadashivanagar  ,77.5772,13.0094
Bangalore East,Sahakaranagar    ,77.588,13.0621
Bangalore East,Vimanapura  ,77.6679,12.9585
Bangalore East,Yelahanka  ,77.5975,13.0958
Bangalore South,Ashoknagar    ,77.5645,12.9377
Bangalore South,B Sk II Stage  ,77.5695,12.9265
Bangalore South,Bannerghatta Road  ,77.5997,12.8976
Bangalore South,Basavanagudi  ,77.5741,12.9446
Bangalore South,Bommanahalli    ,77.6311,12.9068
Bangalore South,Bommasandra Industrial Estate  ,77.6878,12.8203
Bangalore South,Carmelram  ,77.6937,12.9078
Bangalore South,Chandapura  ,77.7041,12.8016
Bangalore South,Dharmaram College  ,77.5684,12.9352
Bangalore South,Electronics City  ,77.6626,12.84
Bangalore South,Gottigere  ,77.5883,12.8564
Bangalore South,HSR Layout  ,77.6382,12.9152
Bangalore South,Hulimavu  ,77.6022,12.885
Bangalore South,J P Nagar  ,77.5868,12.9119
Bangalore South,Jayanagar  ,77.586,12.9237
Bangalore South,Jayangar III Block  ,77.5835,12.9304
Bangalore South,JP Nagar III Phase  ,77.5976,12.9139
Bangalore South,Koramangala VI Bk  ,77.6186,12.9384
Bangalore South,Mico Layout  ,77.6099,12.9103
Bangalore South,Padmanabhnagar  ,77.5576,12.9176
Bangalore South,St. John's Medical College  ,77.6262,12.9277
Bangalore West,Gayathrinagar  ,77.5581,13.001
Bangalore West,Jalahalli East  ,77.5463,13.0728
Bangalore West,Jalahalli  ,77.5539,13.0506
Bangalore West,Mahalakshmipuram Layout  ,77.5466,13.0108
Bangalore West,Malleswaram  ,77.5709,13.0002
Bangalore West,Malleswaram West  ,77.5629,13.0089
Bangalore West,Mathikere  ,77.5576,13.0403
Bangalore West,Msrit  ,77.5642,13.0298
Bangalore West,Palace Guttahalli  ,77.5819,12.9993
Bangalore West,Rajajinagar  ,77.5545,12.9932
Bangalore West,Rajajinagar IVth Block  ,77.5612,12.9831
Bangalore West,Swimming Pool Extn  ,77.574,12.9968
Bangalore West,Vidyaranyapura  ,77.5575,13.076
Bangalore West,Vyalikaval Extn  ,77.5769,13.004
Bangalore West,Yeswanthpura  ,77.5562,13.0197
